wkt_geom,Deliveries,ANC,typeTextHealth,Type,typeText,Please_spe,ownershipText,Name,path,layer,typeTextWater,identifier,PNAME2014,typeTextSchools,typeTextProtection
Point (32.56940000000000168 0.31540000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St Gerald Day Care And Kindergatine,,Schools,,3214,OLD KAMPALA,Pre-Primary Schools,
Point (32.57050000000000267 0.31759999999999999),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Precious Driving School,,Schools,,3217,OLD KAMPALA,Post Primary Schools,
Point (32.56869999999999976 0.3135),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Lohana Academy,,Schools,,3233,OLD KAMPALA,Pre-Primary Schools,
Point (32.56569999999999965 0.31759999999999999),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Uganda Home Economics Institute,,Schools,,3234,OLD KAMPALA,Post Primary Schools,
Point (32.5660000000000025 0.31769999999999998),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Private,International Institute Of Business And Media Studies,,Schools,,3261,OLD KAMPALA,Tertiary Educational Institutions,
Point (32.56880000000000308 0.31630000000000003),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Adult English School,,Schools,,3263,OLD KAMPALA,Non Formal Schools,
Point (32.56880000000000308 0.31669999999999998),,,,Schools,Primary Schools,Primary Schools,Government,Kampala Primary School,,Schools,,3289,OLD KAMPALA,Primary Schools,
Point (32.56980000000000075 0.31640000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Good Shepherd Child centre,,Schools,,3306,OLD KAMPALA,Pre-Primary Schools,
Point (32.56569999999999965 0.35909999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Winston Nursery school Kawempe,,Schools,,902,BWAISE I,Pre-Primary Schools,
Point (32.56580000000000297 0.3589),,,,Schools,Primary Schools,Primary Schools,Private,Winston primary school Kawempe,,Schools,,907,BWAISE I,Primary Schools,
Point (32.56810000000000116 0.35949999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,Kulumba High School,,Schools,,1536,BWAISE I,Secondary Schools,
Point (32.5671999999999997 0.35849999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Juniors nursery and primary school,,Schools,,1593,BWAISE I,Pre-Primary Schools,
Point (32.56730000000000302 0.35849999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Juniors primary school,,Schools,,1596,BWAISE I,Primary Schools,
Point (32.56850000000000023 0.3604),,,,Schools,Primary Schools,Primary Schools,Private,Sunset Junior school,,Schools,,1599,BWAISE I,Primary Schools,
Point (32.56850000000000023 0.35959999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Kulumba nursery school,,Schools,,1645,BWAISE I,Pre-Primary Schools,
Point (32.5688999999999993 0.3589),,,,Schools,Primary Schools,Primary Schools,Private,Aidan primary school,,Schools,,1807,BWAISE I,Primary Schools,
Point (32.56779999999999831 0.35759999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,"Sunset Junior school,Kawempe",,Schools,,1810,BWAISE I,Pre-Primary Schools,
Point (32.56340000000000146 0.35339999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,Bilal lslamic secondary school,,Schools,,1948,BWAISE I,Secondary Schools,
Point (32.56400000000000006 0.35299999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Bilal islamic nursery school,,Schools,,2032,BWAISE I,Pre-Primary Schools,
Point (32.56400000000000006 0.35320000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Bilal islamic primary school,,Schools,,2038,BWAISE I,Primary Schools,
Point (32.56730000000000302 0.35539999999999999),,,,Schools,Primary Schools,Primary Schools,Private,God's grace infant school,,Schools,,2327,BWAISE I,Primary Schools,
Point (32.56730000000000302 0.3553),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,God's grace infant school,,Schools,,2348,BWAISE I,Pre-Primary Schools,
Point (32.56680000000000064 0.35659999999999997),,,,Schools,Primary Schools,Primary Schools,Private,New Bubajjwe Nursery and primary school,,Schools,,2377,BWAISE I,Primary Schools,
Point (32.56680000000000064 0.35670000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,New Bubajjwe Nursery and primary school,,Schools,,2380,BWAISE I,Pre-Primary Schools,
Point (32.57200000000000273 0.35830000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Excel Infant School,,Schools,,2389,BWAISE I,Pre-Primary Schools,
Point (32.56689999999999685 0.35410000000000003),,,,Schools,Primary Schools,Primary Schools,Private,Blessed Child primary school,,Schools,,2467,BWAISE I,Primary Schools,
Point (32.56669999999999732 0.35410000000000003),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Blessed Child nursery school,,Schools,,2478,BWAISE I,Pre-Primary Schools,
Point (32.56380000000000052 0.35620000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St Kizito nursery school Bwaise,,Schools,,2486,BWAISE I,Pre-Primary Schools,
Point (32.56530000000000058 0.35730000000000001),,,,Schools,Primary Schools,Primary Schools,Private,St Augustine pre and primary school Bwaise,,Schools,,2511,BWAISE I,Primary Schools,
Point (32.56539999999999679 0.35759999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St Augustine pre and primary school Bwaise,,Schools,,2515,BWAISE I,Pre-Primary Schools,
Point (32.56410000000000338 0.35570000000000002),,,,Schools,Primary Schools,Primary Schools,Private,"St Kizito primary school,Bwaise",,Schools,,2540,BWAISE I,Primary Schools,
Point (32.56689999999999685 0.35499999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Lifecare primary school Bwaise,,Schools,,2605,BWAISE I,Primary Schools,
Point (32.56649999999999778 0.35439999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Life Littles kindergarten,,Schools,,2651,BWAISE I,Pre-Primary Schools,
Point (32.57209999999999894 0.3584),,,,Schools,Primary Schools,Primary Schools,Private,Excel Infant school,,Schools,,2697,BWAISE I,Primary Schools,
Point (32.57050000000000267 0.35820000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Excel Infant school,,Schools,,2719,BWAISE I,Pre-Primary Schools,
Point (32.57189999999999941 0.35799999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Excel Infant School,,Schools,,3078,BWAISE I,Pre-Primary Schools,
Point (32.57059999999999889 0.36030000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Wisdom primary school Kawempe,,Schools,,3179,BWAISE I,Primary Schools,
Point (32.57050000000000267 0.36030000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Wisdom nursery school,,Schools,,3222,BWAISE I,Pre-Primary Schools,
Point (32.57050000000000267 0.35420000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Samsung Primary School Bwaise,,Schools,,3407,BWAISE I,Primary Schools,
Point (32.56680000000000064 0.3609),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Kiriba-edda Nursery school,,Schools,,3882,BWAISE I,Pre-Primary Schools,
Point (32.60679999999999978 0.32900000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Government,China-uganda friendship hospital Naguru,,Kampala Health Facilities,,4113,NAGURU I,,
Point (32.60450000000000159 0.33629999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Keethen general  clinic,,Kampala Health Facilities,,4104,NAGURU II,,
Point (32.60210000000000008 0.34100000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,THE SURGERY,,Kampala Health Facilities,,4107,NAGURU II,,
Point (32.61480000000000246 0.35110000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Rapha Healthcare services,,Kampala Health Facilities,,4024,NTINDA,,
Point (32.61710000000000065 0.35599999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,7Hills,,Kampala Health Facilities,,4088,NTINDA,,
Point (32.52439999999999998 0.31919999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Bwegombe domiciliary clinic,,Kampala Health Facilities,,7,BUSEGA,,
Point (32.52620000000000289 0.3135),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Busega clinic ,,Kampala Health Facilities,,26,BUSEGA,,
Point (32.52909999999999968 0.30370000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Country clinic ,,Kampala Health Facilities,,4480,BUSEGA,,
Point (32.52109999999999701 0.30480000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,The doctore clinic ,,Kampala Health Facilities,,4505,BUSEGA,,
Point (32.51919999999999789 0.30599999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Millennium mediacl & laboratory service ,,Kampala Health Facilities,,4529,BUSEGA,,
Point (32.52709999999999724 0.31519999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Ddembe medical centre ,,Kampala Health Facilities,,4618,BUSEGA,,
Point (32.55590000000000117 0.28949999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Good samaritan dom clinic,,Kampala Health Facilities,,8,KABOWA,,
Point (32.55960000000000321 0.29010000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Step out dom clinic,,Kampala Health Facilities,,19,KABOWA,,
Point (32.5484999999999971 0.28949999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Mayanja medical chambers,,Kampala Health Facilities,,123,KABOWA,,
Point (32.5619000000000014 0.28070000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Coweser medical clinic,,Kampala Health Facilities,,4465,KABOWA,,
Point (32.55519999999999925 0.2848),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Lords mercy medical centre,,Kampala Health Facilities,,4470,KABOWA,,
Point (32.5619000000000014 0.28060000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Coweser medical clinic,,Kampala Health Facilities,,4501,KABOWA,,
Point (32.56060000000000088 0.28239999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Trans - Nile medical centre,,Kampala Health Facilities,,4506,KABOWA,,
Point (32.56289999999999907 0.28460000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Malcom Health centre,,Kampala Health Facilities,,4647,KABOWA,,
Point (32.55190000000000339 0.28799999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St Marys domicilliary clinic,,Kampala Health Facilities,,4668,KABOWA,,
Point (32.55389999999999873 0.28820000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St Luke Dom clinic,,Kampala Health Facilities,,4679,KABOWA,,
Point (32.55830000000000268 0.35470000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,little stars nursery and primary school,,Schools,,942,BWAISE II,Pre-Primary Schools,
Point (32.55830000000000268 0.35470000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,little stars nursery and primary school,,Schools,,961,BWAISE II,Non Formal Schools,
Point (32.55910000000000082 0.3548),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,lets play kindergarten,,Schools,,972,BWAISE II,Pre-Primary Schools,
Point (32.55769999999999698 0.35610000000000003),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,maisarah islamic nursery and primary school,,Schools,,1014,BWAISE II,Pre-Primary Schools,
Point (32.5578000000000003 0.35589999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Maisarah Islamic primary school,,Schools,,1028,BWAISE II,Non Formal Schools,
Point (32.56089999999999662 0.35899999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,lmani Junior School,,Schools,,1058,BWAISE II,Non Formal Schools,
Point (32.56069999999999709 0.3589),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,imani junior school,,Schools,,1060,BWAISE II,Pre-Primary Schools,
Point (32.55879999999999797 0.35370000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Wisdom Nursery and primary school,,Schools,,1104,BWAISE II,Non Formal Schools,
Point (32.55879999999999797 0.35370000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,wisedom nursery and primary school,,Schools,,1115,BWAISE II,Pre-Primary Schools,
Point (32.55879999999999797 0.3533),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Skill Development and Management,,Schools,,1138,BWAISE II,Post Primary Schools,
Point (32.5583999999999989 0.35289999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Grace kindergarten,,Schools,,1167,BWAISE II,Pre-Primary Schools,
Point (32.55850000000000222 0.3528),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Grace primary school,,Schools,,1181,BWAISE II,Non Formal Schools,
Point (32.56000000000000227 0.35649999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,spire junior school,,Schools,,1247,BWAISE II,Pre-Primary Schools,
Point (32.56020000000000181 0.35680000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Spire Junior School,,Schools,,1249,BWAISE II,Non Formal Schools,
Point (32.56080000000000041 0.35680000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,African Child Nursery and primary school,,Schools,,1259,BWAISE II,Non Formal Schools,
Point (32.56089999999999662 0.35659999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,African child nursery and primary school,,Schools,,1270,BWAISE II,Pre-Primary Schools,
Point (32.55969999999999942 0.35980000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Bright Day and Boarding primary school,,Schools,,1290,BWAISE II,Primary Schools,
Point (32.56040000000000134 0.35930000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,bright kindergaten,,Schools,,1292,BWAISE II,Pre-Primary Schools,
Point (32.55870000000000175 0.36109999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Bwaise II Youth Tailoring And Knitting Group,,Schools,,1424,BWAISE II,Non Formal Schools,
Point (32.56069999999999709 0.3543),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Exel Education Centre,,Schools,,1671,BWAISE II,Non Formal Schools,
Point (32.56060000000000088 0.3543),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Excel education centre,,Schools,,1676,BWAISE II,Pre-Primary Schools,
Point (32.56060000000000088 0.35909999999999997),,,,Schools,Primary Schools,Primary Schools,Private,Bwaise green view nursery and primary school,,Schools,,1934,BWAISE II,Primary Schools,
Point (32.56049999999999756 0.35920000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,bwaise Green view nursery and primary school,,Schools,,1938,BWAISE II,Pre-Primary Schools,
Point (32.55960000000000321 0.35899999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,liberty education centre,,Schools,,1992,BWAISE II,Pre-Primary Schools,
Point (32.55960000000000321 0.35909999999999997),,,,Schools,Primary Schools,Primary Schools,Private,Liberty Education Centre,,Schools,,1994,BWAISE II,Primary Schools,
Point (32.55850000000000222 0.35920000000000002),,,,Schools,Post Primary Schools,Post Primary Schools,Private,somero uganda education for young people,,Schools,,2009,BWAISE II,Post Primary Schools,
Point (32.55700000000000216 0.36070000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Role Model junior school,,Schools,,2811,BWAISE II,Pre-Primary Schools,
Point (32.55769999999999698 0.36109999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Bativila Nursery school,,Schools,,2838,BWAISE II,Pre-Primary Schools,
Point (32.55689999999999884 0.36080000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Role Models Jonior school,,Schools,,2876,BWAISE II,Primary Schools,
Point (32.5589999999999975 0.3614),,,,Schools,Primary Schools,Primary Schools,Private,Moret Academy primary school,,Schools,,2998,BWAISE II,Primary Schools,
Point (32.55890000000000128 0.36170000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Moret Academy Nursery school,,Schools,,3016,BWAISE II,Pre-Primary Schools,
Point (32.55789999999999651 0.35770000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Homeland Intergrated secondary school Kazo,,Schools,,3347,BWAISE II,Non Formal Schools,
Point (32.55660000000000309 0.35770000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Rise and shine nursery and primary school,,Schools,,3377,BWAISE II,Pre-Primary Schools,
Point (32.55680000000000263 0.35759999999999997),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Rise and Shine Nursery and primary school,,Schools,,3378,BWAISE II,Non Formal Schools,
Point (32.5578000000000003 0.35420000000000001),,,,Schools,Secondary Schools,Secondary Schools,Private,Happy Hours secondary school,,Schools,,3483,BWAISE II,Secondary Schools,
Point (32.55749999999999744 0.35399999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,happy hours nursery and primary,,Schools,,3499,BWAISE II,Pre-Primary Schools,
Point (32.55639999999999645 0.35570000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Aunt milly nursery and primary school,,Schools,,3569,BWAISE II,Pre-Primary Schools,
Point (32.55639999999999645 0.35580000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Aunt Milly primary school,,Schools,,3570,BWAISE II,Primary Schools,
Point (32.55729999999999791 0.35639999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Jovial nursery and primary school,,Schools,,3600,BWAISE II,Pre-Primary Schools,
Point (32.55720000000000169 0.35630000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Jovial Nursery and primary school,,Schools,,3601,BWAISE II,Non Formal Schools,
Point (32.55760000000000076 0.35520000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,All saints day and boarding nursery and primary school,,Schools,,3625,BWAISE II,Pre-Primary Schools,
Point (32.5578000000000003 0.35520000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,All saints primary and Nursery school,,Schools,,3626,BWAISE II,Non Formal Schools,
Point (32.55760000000000076 0.3538),,,,Schools,Primary Schools,Primary Schools,Private,Happy hours Boarding primary school,,Schools,,3673,BWAISE II,Primary Schools,
Point (32.55639999999999645 0.36049999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St Jude jonior school,,Schools,,3739,BWAISE II,Pre-Primary Schools,
Point (32.55599999999999739 0.36020000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Kazo parents nursery school,,Schools,,3790,BWAISE II,Pre-Primary Schools,
Point (32.55599999999999739 0.36009999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Kazo parents primary school,,Schools,,3794,BWAISE II,Primary Schools,
Point (32.55630000000000024 0.35539999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,Emmanuel college Kazo,,Schools,,3816,BWAISE II,Secondary Schools,
Point (32.55639999999999645 0.36059999999999998),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,St Jude jonior school,,Schools,,3909,BWAISE II,Non Formal Schools,
Point (32.55160000000000053 0.32969999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St. James dom.clinic,,Kampala Health Facilities,,12,KASUBI,,
Point (32.55590000000000117 0.34279999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,ST MARY DOMICILIARY CLINIC,,Kampala Health Facilities,,89,KASUBI,,
Point (32.55019999999999669 0.34399999999999997),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Eva domiciary clinic,,Kampala Health Facilities,,131,KASUBI,,
Point (32.54879999999999995 0.3352),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Persevere edwaliro,,Kampala Health Facilities,,136,KASUBI,,
Point (32.54460000000000264 0.34160000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Bukirwa martenity and health care services,,Kampala Health Facilities,,4479,KASUBI,,
Point (32.54599999999999937 0.34050000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St kevin martenety clinic,,Kampala Health Facilities,,4481,KASUBI,,
Point (32.54760000000000275 0.3367),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Kins mdical centre,,Kampala Health Facilities,,4491,KASUBI,,
Point (32.5555000000000021 0.33529999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Suka medical centre,,Kampala Health Facilities,,4514,KASUBI,,
Point (32.55689999999999884 0.33260000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,LIFE CARE DOMICILLIARY CLINIC,,Kampala Health Facilities,,4515,KASUBI,,
Point (32.55510000000000304 0.33679999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Glory of christ medical centre,,Kampala Health Facilities,,4518,KASUBI,,
Point (32.55409999999999826 0.33710000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,KASUBI MEDICAL CENTRE,,Kampala Health Facilities,,4519,KASUBI,,
Point (32.55579999999999785 0.33379999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,MALCOM MEDICAL CENTRES,,Kampala Health Facilities,,4525,KASUBI,,
Point (32.55380000000000251 0.34089999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Government,Kawaala health centre,,Kampala Health Facilities,,4530,KASUBI,,
Point (32.55330000000000013 0.34449999999999997),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,BLUE SKY MEDICAL CLINIC,,Kampala Health Facilities,,4537,KASUBI,,
Point (32.56029999999999802 0.33119999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,COMFORT HOME CARE,,Kampala Health Facilities,,4665,KASUBI,,
Point (32.55360000000000298 0.33040000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Royal hill cross clinic,,Kampala Health Facilities,,4687,KASUBI,,
Point (32.53999999999999915 0.34200000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,DESIRE MEDICAL CENTRE,,Kampala Health Facilities,,144,LUBYA,,
Point (32.54509999999999792 0.33850000000000002),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,HOLY CROSS ORTHODOX MISSION HOSPITAL NAMUNGOONA,,Kampala Health Facilities,,4593,LUBYA,,
Point (32.54520000000000124 0.32269999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St perez medicalclinic,,Kampala Health Facilities,,4599,LUBYA,,
Point (32.54710000000000036 0.32550000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,FAMILY CLINIC,,Kampala Health Facilities,,4602,LUBYA,,
Point (32.55879999999999797 0.35060000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Lanerah Nursery and primary school,,Schools,,824,BWAISE III,Pre-Primary Schools,
Point (32.55879999999999797 0.35060000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Lanerah nursery and primary school,,Schools,,825,BWAISE III,Non Formal Schools,
Point (32.56089999999999662 0.35189999999999999),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Lawrie Park primary school,,Schools,,831,BWAISE III,Non Formal Schools,
Point (32.56069999999999709 0.35189999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,lawrie park nuresry and primary school,,Schools,,866,BWAISE III,Pre-Primary Schools,
Point (32.56230000000000047 0.35120000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Bwaise Junior school,,Schools,,870,BWAISE III,Primary Schools,
Point (32.56239999999999668 0.35020000000000001),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Bwaise junior school,,Schools,,875,BWAISE III,Pre-Primary Schools,
Point (32.5561000000000007 0.34939999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Bwaise parents school,,Schools,,1321,BWAISE III,Primary Schools,
Point (32.5561000000000007 0.34939999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Bwaise parents'school,,Schools,,1333,BWAISE III,Pre-Primary Schools,
Point (32.55789999999999651 0.35010000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Happy Angels nursery school,,Schools,,1503,BWAISE III,Pre-Primary Schools,
Point (32.55819999999999936 0.35049999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Outspan Nursery and primary school,,Schools,,1512,BWAISE III,Primary Schools,
Point (32.55789999999999651 0.35010000000000002),,,,Schools,Primary Schools,Primary Schools,Private,Happy Angels Nursery and primary school,,Schools,,1517,BWAISE III,Primary Schools,
Point (32.55830000000000268 0.35049999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,outspan nursery and primary school,,Schools,,1525,BWAISE III,Pre-Primary Schools,
Point (32.55420000000000158 0.35010000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Bwaise parents high school,,Schools,,1565,BWAISE III,Secondary Schools,
Point (32.55570000000000164 0.35149999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Buraaq Nursery and primary school,,Schools,,1610,BWAISE III,Pre-Primary Schools,
Point (32.55559999999999832 0.35210000000000002),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Felistar Junior school,,Schools,,1616,BWAISE III,Non Formal Schools,
Point (32.5555000000000021 0.35149999999999998),,,,Schools,Primary Schools,Primary Schools,Private,Buraaq Nursery and primary school,,Schools,,1621,BWAISE III,Primary Schools,
Point (32.55499999999999972 0.35189999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,felistar junior school,,Schools,,1638,BWAISE III,Pre-Primary Schools,
Point (32.55939999999999657 0.35170000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Destiny primary school,,Schools,,1681,BWAISE III,Non Formal Schools,
Point (32.55939999999999657 0.35160000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Desnity nursery school,,Schools,,1692,BWAISE III,Pre-Primary Schools,
Point (32.55590000000000117 0.3518),,,,,,,Government,Abdu Luzzi,C:/Users/Desire/IdeaProjects/PROJECTS/UNICEF/Portal1/pages/interactiveMap/json/shitdata/Data/Protected_Springs.shp,Water,Protected Springs,1694,BWAISE III,,
Point (32.55989999999999895 0.34989999999999999),,,,Schools,Secondary Schools,Secondary Schools,Private,Heritage collage school,,Schools,,2025,BWAISE III,Secondary Schools,
Point (32.53110000000000213 0.32879999999999998),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Nissi clinic,,Kampala Health Facilities,,4607,LUBYA,,
Point (32.53750000000000142 0.32650000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,MILEN MEDICAL CENTRE KIGOBE,,Kampala Health Facilities,,4615,LUBYA,,
Point (32.53170000000000073 0.3301),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Gatewell generalclinic,,Kampala Health Facilities,,4620,LUBYA,,
Point (32.5414999999999992 0.31730000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Ron medical clinic,,Kampala Health Facilities,,4631,LUBYA,,
Point (32.53580000000000183 0.33160000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Galilee communitg hospital,,Kampala Health Facilities,,4648,LUBYA,,
Point (32.53090000000000259 0.33329999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St  james medical centre,,Kampala Health Facilities,,4652,LUBYA,,
Point (32.5484999999999971 0.32890000000000003),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Dick medical centre,,Kampala Health Facilities,,4685,LUBYA,,
Point (32.53840000000000288 0.31109999999999999),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,St Edward Medical Centre,,Kampala Health Facilities,,94,LUNGUJJA,,
