wkt_geom,Deliveries,ANC,typeTextHealth,Type,typeText,Please_spe,ownershipText,Name,path,layer,typeTextWater,identifier,PNAME2014,typeTextSchools,typeTextProtection
Point (32.60849999999999937 0.28689999999999999),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,St.Kizito Nursery School,,Schools,,2510,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.6062999999999974 0.2898),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Eastafrican Institute Of Professional Counseling,,Schools,,2534,KANSANGA-MUYENGA,Post Primary Schools,
Point (32.61379999999999768 0.28489999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Kansanga Hill Primary School,,Schools,,2542,KANSANGA-MUYENGA,Primary Schools,
Point (32.61650000000000205 0.28399999999999997),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Sure steps kindergarten,,Schools,,2692,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.61749999999999972 0.28470000000000001),,,,Schools,Primary Schools,Primary Schools,Private,St.Henry's primary school,,Schools,,2710,KANSANGA-MUYENGA,Primary Schools,
Point (32.61730000000000018 0.28599999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Harmony International Pre-school,,Schools,,2733,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.61160000000000281 0.28339999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Gospel light baptist school primary,,Schools,,2742,KANSANGA-MUYENGA,Primary Schools,
Point (32.60929999999999751 0.28410000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Newcastle high school,,Schools,,2777,KANSANGA-MUYENGA,Secondary Schools,
Point (32.61569999999999681 0.2838),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Wind chimes kindergarten and day care,,Schools,,2790,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.60079999999999956 0.28999999999999998),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Blue bells kindergarten,,Schools,,2871,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.61849999999999739 0.28410000000000002),,,,Schools,Pre-Primary Schools,Pre-Primary Schools,Private,Grace nursery school,,Schools,,2919,KANSANGA-MUYENGA,Pre-Primary Schools,
Point (32.61789999999999878 0.28439999999999999),,,,Schools,Primary Schools,Primary Schools,Private,Grace primary school,,Schools,,2924,KANSANGA-MUYENGA,Primary Schools,
Point (32.60600000000000165 0.29070000000000001),,,,Schools,Primary Schools,Primary Schools,Private,Kansanga Hill primary school,,Schools,,2945,KANSANGA-MUYENGA,Primary Schools,
Point (32.60750000000000171 0.28539999999999999),,,,Schools,Tertiary Educational Institutions,Tertiary Educational Institutions,Government,International university of east africa,,Schools,,3007,KANSANGA-MUYENGA,Tertiary Educational Institutions,
